Entered by,CASE STUDY,Organisation,INITIAL CONTACT,Focus Area,Category,Country,Contact Information,Website,Website Active?,Instagram,Instagram Active 2025/26?,Year Established,Trading Status,Ownership,Core model,Company Size data,Customers,Geographic scope,Categories,Partners,Partner Category,Data (Plastic saved),Data (Co2 Reduction),Key Facts,Anything else,Comments
Sam,,Excess Materials Exchange,not suitable currently,Reuse and Circular Economy,Buisiness Service Provider ,Netherlands,info@excessmaterialsexchange.com,https://excessmaterialsexchange.com/,Yes,,,,Active,Private,Platform matching surplus materials with high-value reuse opportunities,,,Netherlands,,,,,,,,"Platform that facilitates direct reuse by matching organisations’ surplus, by‑products, and excess materials with high‑value reuse opportunities."
Kaat,,ExpandFibre,not suitable currently,Reusable Packaging,Reusable Packaging,Finland,katariina.kemppainen@metsagroup.com,https://www.expandfibre.com,Yes,,,,Active,Consortium (Metsä Group and Metsä Fibre),Sustainable fibre-based alternatives to plastic (reusable materials),,,Finland,,,,,,,,plastic alternatives that are reusbale and based on sustainable materials
Kaat,,Ezaar Collective,low priority,Zero Waste ,Consumer Goods ,Pakistan,ezaarcollective@gmail.com,https://ezaarcollective.com/collections/zero-waste?utm_source=chatgpt.com,Yes,,,,Active,Private,Sustainable fashion e-commerce,,,Pakistan,,,,,,,,Sells sustainable fasion items
Sam,,Fairphone ,not suitable currently,Eco-friendly product ,Electronics ,Netherlands,https://support.fairphone.com/hc/en-us/requests/new,https://www.fairphone.com/,Yes,fairphone,Yes,2013,Active,Private (B-Corp certified),Modular repairable ethical smartphone — reuse through part replacement,51-200 employees,,Netherlands and European market,,,,,,Known for modular design and ethical supply chain transparency.,,"Ethically produced smartphone designed for easy repair, refurbishment and long-term use, promoting reuse by allowing users to replace parts instead of discarding the device."
Jishnu,,Faith In Nature,"25/06, Jishnu",Refillable Products,Consumer Goods,United Kingdom,support@faithinnature.co.uk,https://www.faithinnature.co.uk/,Yes,faithinnatureuk,Yes,1974,Active,Private,B2C eco personal care + refill in aluminium bottles (refill-reuse-repeat branding),,,United Kingdom,,,,,,,,"Personal care and cleaning brand promoting refills of their eco friendly products, selling reusable aluminium bottles andincluding “refill, reuse and repeat"" in branding."
"Giulia, 30/06",,Fill it Forward ,30/06,Tech in Resuable systems ,Packaging solutions ,Canada,info@fillitforward.com ,https://fillitforward.com/,Yes,,,,Active,Private,Scannable tags for reusable products + charitable donation per scan,,,Canada,,,,,,,,"Tracks enivronmental impact by offering scannable tags for reusable products, with every scan the organisation donates to sustianable charties "
Selina,,Fill Refill Co,24/06,Refillable Products,Cleaning and Laundry Products,United Kingdom,hello@fillrefill.co,https://www.fillrefill.co/,Yes,,,,Active,Private,B2C refillable cleaning and laundry products,,,United Kingdom,,,,,,,,"Provides refillable cleaning and laundry products, promoting zero waste​"
Prathmesh,,Fill up buttercup,"01/07, Jishnu",Eco-Friendly Household Products,Consumer Goods,United States,hello@fillupbuttercup.com,https://www.fillupbuttercup.com/,Yes,,,,Active,Private,B2C non-toxic plastic-free everyday consumer products,,,United States,,,,,,,,"Non-toxic, plastic free everyday consumer products"
Prathmesh,,Fillaree Refill,"01/07, Jishnu",Refills and Reusable Packaging,Consumer Goods,United States,hello@fillaree.com,https://fillaree.com/,Yes,,,,Active,Private,B2C sustainable packaging and refillable containers (cosmetics),,,United States,,,,,,,,Fillare provides sustainable packaging and reffilable containers for various cosmetic products
Jishnu,,FillGood,low priority,Reusable Products ,Consumer Services,New Zealand,kiaora@fillgood.nz,https://www.fillgood.nz/,Yes,,,,Active,Non-profit,Event reusable cups/plates/trays borrow-return-wash-repeat system,,,New Zealand (Wellington),,,,,,,,"Wellington-based non-profit supplies reusable cups, plates and trays at events via a borrow-return-wash-repeat system."
Jishnu,,Finline Furniture,not suitable currently,Zero Waste,Consumer Goods,Ireland,info@finlinefurniture.ie,https://www.finlinefurniture.ie/revive/,Yes,,,,Active,Private,Revive sofa buy-back and reupholstery service,,,Ireland,,,,,,,,"Offers “Revive” sofa buy‑back and reupholstery service, extending furniture life using reclaimed frames and recycled fabrics."
Prathmesh ,,First Green Store,low priority,Eco-friendly product ,Consumer Goods,Singapore,info@thefirstgreenstore.com,https://thefirstgreenstore.com/,Yes,,,,Active,Private,Sustainably sourced writing materials and eco gifts,,,Singapore,,,,,,,,"Sustainably sourced writing materials, gift bags, & customization service"
Krita,,Flo Hygeine,low priority,refillable cleaning products,Household cleaning products,Nepal,info@flohygiene.com,https://flohygiene.com/,,,,,,,,,,,,,,,,,,
Jishnu,,FloWater (via Pure Water Technology),"26/06, Jishnu",Refill Stations,Consumer Services,United States,https://www.linkedin.com/company/flowater/,https://drinkflowater.com/,Yes,,,,Active,Private,"B2B stainless steel refill water stations for offices, gyms, schools",,,United States,,,,,,,,"Distributes stainless steel refill water stations to offices, gyms, and schools—reducing single-use bottled water through onsite refills."
Krita,,For Eartth's sake,45845,Refillable Products ,Consumer Goods,India,https://www.forearthssake.co.uk/contact/,https://www.forearthssake.co.uk/,,,,,,,,,,,,,,,,,,Refillable containers that you can drop off and is filled and sorted with proiducts the customer wants (food and body care)
Prathmesh,,Forest Garden Soap,"01/07, Jishnu",Sustainable Products,Consumer Goods,Canada,https://www.forestgardensoap.com/,https://www.forestgardensoap.com/,Yes,,,,Active,Private,Zero-waste wild-harvested sea salt soaps using sustainable local ingredients,,,Canada,,,,,,,,"Sea salt–based, wild-harvested, zero-waste soaps using sustainable local ingredients"
Prathmesh ,,Foreword Coffee,low priority,Sustainable Goods,Consumer Goods,Singapore,https://forewordcoffee.com/contact-us/,https://forewordcoffee.com/,Yes,,,,Active,Private,"Ethically sourced specialty coffee (4 Asian countries, 6 farms)",,,Singapore,,,,,,,,"Foreward Coffee ethically sources their coffee from 4 countries in Asia, 6 farms, featuring 7 single-origins"
"Giulia, 30/06",,Friendlier ,30/06,Reuse and Circular Economy ,Packaging solution ,Canada,info@friendlier.ca,https://www.friendlier.com/,Yes,friendliercompany,Yes,,Active,Private,Deposit-return reusable containers + 200+ partner locations,,,Canada,,,,,,,,"Offers a system with a deposit-return and  reusable containers, partnering with over 200 locations "
Jishnu,,fritz-kola,not suitable currently,Reusable Packaging ,Consumer Goods ,Germany,https://fritz-kola.com/en-gb/contact,https://fritz-kola.com/,Yes,fritz_kola,Yes,2002,Active,Private,"B2C soft drinks in refillable glass bottles (up to 20 reuse cycles, deposit-return)",,,Germany and Europe,,,,,,,,A soft drink brand distributing refillable glass bottles designed for up to 20 reuse cycles under deposit-return systems.
Mehak,,Fundación Basura,low priority,Food waste reuse & composting,Surplus fruits and vegetables,Chile, contacto@fundacionbasura.org,https://fundacionbasura.org/,Yes,,,,Active,Non-profit,Food recovery from outdoor markets + composting of non-reusable surplus,,,Chile,,,,,,,,Runs food recovery programs from outdoor markets; composts what cannot be reused. Recovers unsold fruits/vegetables from markets and redistributes or composts them. Direct reuse of surplus food.
Mehak,,Fundación Lenga,low priority,Zero-waste tourism,Reusable goods in tourism,Chile,info@fundacionlenga.cl,https://www.gozerowaste.app/,Yes,,,,Active,Non-profit,Zero-waste tourism advocacy + Go Zero Waste app collaboration,,,Chile,,,,,,,,Collaborates with tourism businesses to reduce single-use plastics through awareness and alternatives. Encourages tourists and businesses to avoid disposables; promotes reusable packaging and containers in southern Chile. Works closely with the Go Zero Waste app.
Jishnu,,Furugishion,low priority,Reusable Products ,Consumer Services,Japan,https://furugishion.com/support/,https://furugishion.com/,Yes,,,,Active,Private,Secondhand clothing buy-and-resell platform,,,Japan,,,,,,,,Platform for buying and reselling secondhand clothing which encourages reuse and circular fashion practices nationwide.
Prathmesh,,Fussy,"27/06, Jishnu",Eco-Friendly Household Products,Consumer Goods,United States,hi@getfussy.com,https://www.getfussy.com/,Yes,getfussy,Yes,2020,Active,Private,B2C refillable deodorant subscription (compostable refills),,,United States and global,,,,,,,,Refillable containers for personal hygiene products with sustainable packaging  
Jishnu,,Fuwa3e ,low priority,Refillable Products,Consumer Goods,Vietnam,fuwa3e@gmail.com,https://www.fuwa.com.vn/en,Yes,,,,Active,Private,Eco-enzyme cleaning + closed-loop refill station network,,,Vietnam,,,,,,,,Eco-enzyme cleaning product brand with a closed-loop refill station network encouraging customers to reuse their bottles.
Kaat,,GAIA,low priority,Reusable packaging ,Packaging Solutions,Pakistan,Contact us – GAIA BAGS,GAIA BAGS,Yes,,,,Active,Private,Reusable bags to replace single-use plastic bags,,,Pakistan,,,,,,,,Sells reusable bags to replace singlu-use plastic bags 
Jishnu,,Gcwalisa,not suitable currently,Zero Waste,Consumer Goods,South Africa,info@gcwalisa.com,https://www.gcwalisa.com/,Yes,,,,Active,Private,Pay-and-weigh bulk food community store + reusable containers with deposit,,,South Africa,,,,,,,,Community food store using pay and weigh model and reusable durable containers with return deposit to reduce packaging waste.
Sam,,Genomma Lab,low priority,Reusable Packaging ,Consumer Goods ,Mexico,https://inversionistas.genommalab.com/en/contact/,https://www.genommalab.com/,Yes,,,,Active,Public listed (BMV: LABB),Health and beauty company with plastic reuse commitments,,,Mexico and Latin America,,,,,,"Reused over 16,000 tons of plastic (company claim).",,"A major health company that reused over 16,000 tons of plastic"
Prathmesh,,Get Joni,"01/07, Jishnu",Eco-Friendly Household Products,Consumer Goods,Canada,marketing@getjoni.com,https://getjoni.com/,Yes,,,,Active,Private,Biodegradable organic period care in compostable packaging,,,Canada,,,,,,,,"Biodegradable, organic period care (pads, tampons); sustainable compostable packaging "
Jishnu,,Gjenge Makers,low priority,Zero Waste,Materials Supplier,Kenya,https://www.gjenge.co.ke/contacts,https://www.gjenge.co.ke/,Yes,,,,Active,Private social enterprise,Paving bricks and building materials from locally collected plastic waste,,,Kenya,,,,,,,,Manufactures paving bricks and building materials from locally collected plastic waste offering a circular reuse model for community waste.
Krita,,Glassia,low priority,Reusable cups,Consumer goods ,Vietnam,https://www.evergreenlabs.org/glassiawater#Footer,https://www.evergreenlabs.org/glassiawater ,Yes,,,,Active,Private,Reusable glass water bottles with delivery and collection service,,,Vietnam,,,,,,,,"Offers water in reusable and refill glass water bottles + aluminium caps. Full service within delivery and collection, where they drop off bottles and pick up old bottles for cleaning and reuse."
Kaat,,Go Zero Waste,low priority,Application,Packaging Solutions,Argentina,info@gozerowaste.app,https://gozerowaste.app/#,Yes,,,,Active,Private,App locating plastic-free and zero-waste shops,,,Argentina,,,,,,,,App that locates all the shops that are plastic-free
Jishnu,,GoBEBA,low priority,Refillable Products,Consumer Goods,Kenya,vipi@gobeba.com,https://www.gobeba.com/,Yes,,,,Active,Private,E-commerce platform for refillable bulk essentials via micro-fulfillment hubs,,,Kenya,,,,,,,,Tech-enabled e-commerce platform delivering refillable bulky essentials such as cooking fuel and water via micro-fulfillment hubs for sustainable reuse systems.
Jishnu,,Goodfill,"26/06, Jishnu",Refillable Products,Consumer Goods,South Africa,https://goodfill.co.za/pages/contact,https://goodfill.co.za/,Yes,,,,Active,Private,B2C concentrated biodegradable cleaning tablets + refillable bottles (mix at home),,,South Africa,,,,,,,,Offers concentrated biodegradable cleaning product tablets and refillable bottles allowing customers to mix at home and reduce single-use plastic containers.
Giulia ,,GoUnpackaged ,"26/06, Jishnu",Refillable Products,Business Service Provider,United Kingdom,hello@gounpackaged.com ,https://gounpackaged.com/,Yes,GoUnpackaged,Yes,2006,Active,Private limited company,"B2B logistics, zero-waste retail consulting and systems modelling",1-10 employees,"Enterprise supermarkets, local authorities, FMCG brands",United Kingdom and Europe,,,,,,,,Offers consultancy to  help businesses transition to Reusable Packaging and refill systems. Works with major United Kingdom retailers.
Jishnu,,Gra de Gràcia,"02/07, Jishnu",Refill Stations,Consumer Goods,Spain,info@gradegracia.cat,https://www.gradegracia.cat/,Yes,,,,Active,Private,Zero-waste bulk organic grocer with reusable containers (Barcelona),,,Spain,,,,,,,,A zero-waste grocer in Barcelona offering bulk organic foods with a reusable container model and local sourcing.
Julia,,Gracz,low priority,Sustainable Products,Consumer Goods,Thailand,gracz.my@gmail.com,https://gracz.my/,Yes,,,,Active,Private,Compostable bagasse items,,,Thailand,,,,,,,,Produces bagasse-based compostable items
Jishnu,,Gram Malmö,"02/07, Jishnu",Zero Waste ,Consumer Goods,Sweden,hej@grammalmo.se ,https://www.grammalmo.se/,Yes,grammalmo,Yes,,Active,Private,Bring-your-own-container zero-waste shop (food + detergents),,,Sweden (Malmö),,,,,,,,"Offers hundreds of unpackaged and zero-waste products ranging from local food to detergents, sold in a bring-your-own-containers system."
Jishnu,,Great Wrap,not suitable currently,Zero Waste ,Consumer Goods ,Australia,hello@greatwrap.co,https://greatwrap.com.au/,Yes,greatwrapco,Yes,2020,Active,Private,Compostable food wrap from food waste (replaces plastic cling film),,,Australia,,,,,,,,"Develops compostable food wraps from food waste to replace plastic cling wrap, enabling reusable food storage and circular food-packaging models."
Jishnu,,Green Bubble,"02/07, Jishnu",Zero Waste,Materials Supplier,Ireland,https://www.linkedin.com/in/peter-gregory-greenbubble/,https://www.green-bubble.ie/,Yes,,,,Active,Private,Reused bubble-wrap and foam roll B2B supply (reuse-first model),,,Ireland,,,,,,,,Supplies reused packaging like bubble‑wrap and foam rolls to businesses under a reuse‑first model to extend material lifespans.
Prathmesh,,Green Come True,"01/07, Jishnu",Eco-Friendly Household Products,Consumer Goods,United States,https://greencometrue.co/pages/contact,https://greencometrue.co/,Yes,,,,Active,Private,Zero-waste store + mobile refill + climate activism,,,United States,,,,,,,,"Green come true advocates zero waste and offers refill options for both in person and mobile customers, while tying its work to the greater idea of climate activism"
